,code,net_mf_amount
密集调研,TS0,-86525.52000000002
南北船合并,TS1,-50546.549999999996
5G,TS2,-344646.09
机场,TS3,-2113.05
高价股,TS4,-408569.43000000005
烧碱,TS5,-21094.18
AH溢价股,TS6,-12201.65
保险,TS7,10232.07
PVC,TS8,-7554.12
啤酒,TS9,1149.23
火电,TS10,-3484.2
银行,TS11,97334.97
碳纤维,TS12,17004.46
安邦系,TS13,-29272.579999999998
特高压,TS14,-102288.29
光通信,TS16,-142186.98
草甘膦,TS17,2292.47
高速公路,TS18,1382.9999999999998
有色-铝,TS19,-19423.920000000002
有色-锆,TS20,-5541.08
主题公园,TS21,6924.82
白马股,TS22,-352666.19999999995
雄安-地产,TS23,-8482.309999999998
OLED,TS24,-235474.06
MSCI,TS25,-1815986.4
健康中国,TS26,-93971.16
养老金持股,TS27,-8294.1
水电,TS28,-15086.39
环氧丙烷,TS29,-24245.28
PCB板,TS30,-109351.59999999999
煤炭,TS31,35076.32
中字头,TS32,-132038.36999999997
血制品,TS33,-19251.85
钢铁,TS34,-13970.579999999996
油服,TS35,-25544.949999999997
内蒙古,TS36,27693.320000000003
券商,TS37,-242063.28
有色-锌,TS38,-28560.749999999996
人民币升值受益,TS39,23109.410000000003
阿里巴巴概念股,TS40,-285939.99
有色-锑,TS41,-5014.92
海工装备,TS42,-61883.15999999999
新能源整车,TS43,-38542.68000000001
涤纶,TS44,8424.42
振兴东北,TS45,-11716.63
有色-镁,TS46,-3143.27
油气改革,TS47,-33661.420000000006
一带一路,TS48,-257375.65
新进指数成份股,TS49,-199725.23
玻纤,TS50,-7448.039999999999
大消费,TS51,-150895.27000000005
被动元件,TS52,-42744.079999999994
北汽新能源,TS53,-46625.6
可燃冰,TS54,-33737.67
东盟博览会,TS55,-19137.949999999997
电改,TS56,-20906.220000000005
石墨电极,TS57,22185.28
北京城市规划,TS58,11958.849999999999
特斯拉,TS59,-23077.7
赛马,TS60,4489.579999999999
航运,TS61,-8989.06
金改,TS62,-91311.86000000002
超级高铁,TS63,-3816.459999999999
农药,TS64,-6379.12
汽车整车,TS65,-36027.54000000001
次新股,TS66,-51179.560000000005
安徽国企改革,TS67,-47769.34
水务,TS68,-7435.69
混改,TS69,-100137.65000000002
PD-1抑制剂,TS70,-126327.84999999998
二胎,TS71,10608.989999999998
