,code,net_mf_amount
密集调研,TS0,0
南北船合并,TS1,0
5G,TS2,0
机场,TS3,0
高价股,TS4,0
烧碱,TS5,0
AH溢价股,TS6,0
保险,TS7,0
PVC,TS8,0
啤酒,TS9,0
火电,TS10,0
银行,TS11,0
碳纤维,TS12,0
安邦系,TS13,0
特高压,TS14,0
光通信,TS16,0
草甘膦,TS17,0
高速公路,TS18,0
有色-铝,TS19,0
有色-锆,TS20,0
主题公园,TS21,0
白马股,TS22,0
雄安-地产,TS23,0
OLED,TS24,0
MSCI,TS25,0
健康中国,TS26,0
养老金持股,TS27,0
水电,TS28,0
环氧丙烷,TS29,0
PCB板,TS30,0
煤炭,TS31,0
中字头,TS32,0
血制品,TS33,0
钢铁,TS34,0
油服,TS35,0
内蒙古,TS36,0
券商,TS37,0
有色-锌,TS38,0
人民币升值受益,TS39,0
阿里巴巴概念股,TS40,0
有色-锑,TS41,0
海工装备,TS42,0
新能源整车,TS43,0
涤纶,TS44,0
振兴东北,TS45,0
有色-镁,TS46,0
油气改革,TS47,0
一带一路,TS48,0
新进指数成份股,TS49,0
玻纤,TS50,0
大消费,TS51,0
被动元件,TS52,0
北汽新能源,TS53,0
可燃冰,TS54,0
东盟博览会,TS55,0
电改,TS56,0
石墨电极,TS57,0
北京城市规划,TS58,0
特斯拉,TS59,0
赛马,TS60,0
航运,TS61,0
金改,TS62,0
超级高铁,TS63,0
农药,TS64,0
汽车整车,TS65,0
次新股,TS66,0
安徽国企改革,TS67,0
水务,TS68,0
混改,TS69,0
PD-1抑制剂,TS70,0
二胎,TS71,0
固废处理,TS72,0
医药商业,TS73,0
教育,TS74,0
军工混改,TS75,0
海底捞概念股,TS76,0
硅锰,TS78,0
高送转-预期,TS79,0
央企改革,TS80,0
有机硅,TS81,0
民营医院,TS82,0
华为产业链,TS83,0
蔚来汽车概念股,TS84,0
甲醇,TS85,0
军工研究所,TS86,0
港口,TS87,0
社保重仓,TS88,0
美团概念股,TS89,0
纯碱,TS90,0
转基因,TS91,0
旅游,TS92,0
福建自贸区,TS93,0
核电,TS94,0
乡村振兴,TS95,0
调味品,TS96,0
大飞机,TS97,0
回购,TS98,0
通用航空,TS99,0
白酒,TS100,0
汽车销售,TS101,0
重庆国企改革,TS102,0
制冷剂,TS103,0
航母,TS104,0
新零售,TS105,0
饲料,TS106,0
空铁WiFi,TS107,0
有色金属,TS108,0
养猪,TS109,0
芬太尼概念,TS110,0
业绩预增,TS111,0
参股券商,TS112,0
园林,TS113,0
宝能系,TS114,0
破净股,TS115,0
饮料,TS116,0
风电,TS117,0
粤港澳大湾区,TS118,0
棉花,TS119,0
中科院系,TS120,0
页岩气,TS121,0
重卡,TS122,0
供应链金融,TS123,0
保健品,TS124,0
锦纶（尼龙）,TS125,0
染料,TS126,0
军工,TS127,0
纺织服装,TS128,0
天然气,TS129,0
军民融合,TS130,0
石油化工,TS131,0
浙江国企改革,TS132,0
无人机,TS133,0
有色-镍,TS134,0
养鸡,TS135,0
兜底式增持,TS136,0
有色-钴,TS137,0
汽车零部件,TS138,0
有色-钼,TS139,0
炭黑,TS140,0
大基建,TS141,0
物联网,TS142,0
百度概念股,TS143,0
筹码集中,TS144,0
宁德时代概念股,TS145,0
光伏,TS146,0
信托,TS147,0
储能,TS148,0
装配式建筑,TS149,0
煤化工,TS150,0
脑科学,TS151,0
食品,TS152,0
无人驾驶,TS153,0
债转股-AMC,TS154,0
湖南国企改革,TS155,0
新疆,TS156,0
雄安-园林环保,TS157,0
雄安-金融,TS158,0
中韩自贸区,TS159,0
恒大概念股,TS160,0
智慧物流,TS161,0
谷歌概念股,TS162,0
雄安-智慧城市,TS163,0
化肥,TS164,0
特色小镇,TS165,0
养老产业,TS166,0
厨卫家电,TS167,0
农垦,TS168,0
农机,TS169,0
定增破发,TS170,0
稀土磁材,TS171,0
休闲食品,TS172,0
小家电,TS173,0
有色-钨,TS174,0
工业自动化,TS175,0
智能仪表,TS176,0
雄安-建材,TS177,0
乳业（奶粉）,TS178,0
山西国企改革,TS179,0
水泥,TS180,0
地下管廊,TS181,0
轮胎,TS182,0
铁总混改,TS183,0
机械,TS184,0
环杭州湾大湾区,TS185,0
高质押率,TS186,0
雄安-公共服务,TS187,0
河南自贸区,TS188,0
山东国企改革,TS189,0
医药,TS190,0
太赫兹,TS191,0
万达系,TS192,0
白色家电,TS193,0
白糖,TS194,0
水利,TS195,0
中药,TS196,0
智慧停车,TS197,0
大气治理,TS198,0
房地产,TS199,0
创新药,TS200,0
海绵城市,TS201,0
北斗导航,TS202,0
铁矿石,TS203,0
网络安全,TS204,0
家电,TS205,0
土地流转,TS206,0
化学药,TS207,0
锂电池,TS208,0
海南自由贸易港,TS209,0
PPP,TS210,0
小米概念股,TS211,0
疫苗,TS212,0
林业,TS213,0
磷化工,TS214,0
燃料电池,TS215,0
量子通信,TS216,0
环保,TS218,0
3D打印,TS219,0
数字中国,TS220,0
智能制造,TS221,0
创业板人气股,TS222,0
直播/短视频,TS223,0
冷链,TS224,0
雄安新区,TS225,0
新疆国企改革,TS226,0
互联网金融,TS227,0
有色-钒,TS228,0
无线充电,TS229,0
维生素,TS230,0
上海国企改革,TS231,0
新能源汽车,TS232,0
基因测序,TS233,0
雄安-工程基建,TS234,0
京津冀,TS235,0
快递物流,TS236,0
医疗器械,TS237,0
移动支付,TS238,0
大数据,TS239,0
油品升级,TS240,0
低价股,TS241,0
醋酸,TS242,0
流感,TS243,0
药品信息化追溯,TS244,0
有色-铜,TS245,0
云计算,TS246,0
进口博览会,TS247,0
人民币贬值受益,TS248,0
